i,average coarseness,dc factor,group,old size
0,0.14419549115533384,0.2,0,1.0756645202636719
1,0.15590037527520223,0.2,1,0.9010810852050781
2,0.16036705472945587,0.2,2,0.8642692565917969
3,0.15696997833634735,0.2,3,0.8287773132324219
4,0.16051698632939437,0.2,4,0.8033027648925781
5,0.16102877734273394,0.2,5,0.7919044494628906
6,0.16311284533447115,0.2,6,0.7954063415527344
7,0.1622757814213554,0.2,7,0.7762565612792969
8,0.16000198992957446,0.2,8,0.7637557983398438
9,0.1606369955760353,0.2,9,0.7656288146972656
10,0.15934502987684818,0.2,10,0.7593955993652344
11,0.16304229357063896,0.2,11,0.7651252746582031
12,0.16631779479486414,0.2,12,0.7598876953125
13,0.16493081202472826,0.2,13,0.7359237670898438
14,0.16539779605192306,0.2,14,0.72509765625
15,0.16643078546568404,0.2,15,0.7152824401855469
16,0.16451987213504435,0.2,16,0.7006340026855469
17,0.16971857321997408,0.2,17,0.6995048522949219
18,0.17241814084770385,0.2,18,0.6912498474121094
19,0.17418081700057356,0.2,19,0.6773643493652344
20,0.1713363938973463,0.2,20,0.6508255004882812
21,0.17511241647435283,0.2,21,0.6436386108398438
22,0.17858380855152056,0.2,22,0.6372489929199219
23,0.17725901212710957,0.2,23,0.6040458679199219
24,0.17352783795391882,0.2,24,0.5637855529785156
25,0.17455394924030665,0.2,25,0.5642814636230469
26,0.17602256827817217,0.2,26,0.5546073913574219
27,0.1658408954422449,0.2,total,19.813945770263672
28,0.04374774041848698,0.8,0,0.3892097473144531
29,0.04304874194905189,0.8,1,0.30150604248046875
30,0.04472531835802908,0.8,2,0.293304443359375
31,0.04228223565233996,0.8,3,0.2731666564941406
32,0.04313556032036252,0.8,4,0.26743316650390625
33,0.04379634574710513,0.8,5,0.2650947570800781
34,0.0441182404418797,0.8,6,0.2652587890625
35,0.042624314077523574,0.8,7,0.2519264221191406
36,0.04206765205072368,0.8,8,0.24810409545898438
37,0.04215388604956603,0.8,9,0.24797439575195312
38,0.04160725326669153,0.8,10,0.24517440795898438
39,0.042060054196598584,0.8,11,0.24480056762695312
40,0.04302514116385809,0.8,12,0.24471282958984375
41,0.043102835590608436,0.8,13,0.240966796875
42,0.043698176713992266,0.8,14,0.23824691772460938
43,0.043660591759876306,0.8,15,0.23358154296875
