i,N_splits < C_u,N_splits = C_u,N_splits > C_u,Splits < C_u,Splits = C_u,Splits > C_u,WW check efficiency,error 1.0000E-01,error 1.0000E-05,error 2.0000E+01,error total,factor,fom,mode,ratio,refine,slope,tally 1.0000E-01,tally 1.0000E-05,tally 2.0000E+01,tally total,total no change,total splits,total stochastic termination,total ww checks,vov
0,37432.0,105.0,29615.0,0.5574219680724327,0.00156361686919228,0.441014415058375,0.48367459600395946,0.0201,0.0079,0.0132,0.0081,0.3,9.4E+00,wwig,10,dc,10.0,1.96081e-09,1.22297e-08,4.97439e-09,1.91649e-08,1738682.0,67152.0,1859514.0,3983393.0,0.0002
1,1756859.0,0.0,7.0,0.9999960156323817,0.0,3.984367618247493e-06,0.46924354416079106,0.0063,0.004,0.0051,0.0039,0.3,23,wwig,7,dc,10.0,1.9555e-09,1.20941e-08,4.86525e-09,1.89149e-08,10414753.0,1756866.0,8158404.0,21130328.0,0.0000
2,2205726.0,17819.0,11553.0,0.9868587417643432,0.007972357364196112,0.00516890087146067,0.4604920966604632,0.0063,0.0041,0.0052,0.004,0.3,20,wwig,6,dc,10.0,1.92618e-09,1.21283e-08,4.88255e-09,1.8937e-08,12422162.0,2235098.0,9127521.0,24674949.0,0.0000
3,430674.0,195847.0,421963.0,0.4107587717123008,0.18679064248953728,0.4024505857981619,0.4717306241258303,0.0074,0.0046,0.006,0.0046,0.8,13,wwig,9,dc,10.0,1.94041e-09,1.20664e-08,4.85839e-09,1.88652e-08,8103182.0,1048484.0,6799463.0,16636501.0,0.0000
4,37626.0,106.0,29843.0,0.5568035516093229,0.001568627450980392,0.44162782093969666,0.4831292394300129,0.02,0.0079,0.0134,0.0081,0.8,8.6E+00,wwig,10,dc,10.0,1.84734e-09,1.20243e-08,4.92931e-09,1.88009e-08,1761850.0,67575.0,1876954.0,4024863.0,0.0002
5,2218336.0,18164.0,11946.0,0.9866085287349574,0.008078468417742743,0.005313002847299868,0.4598039842101968,0.0062,0.004,0.0052,0.004,0.8,18,wwig,6,dc,10.0,1.93839e-09,1.21109e-08,4.8763e-09,1.89256e-08,12535075.0,2248446.0,9179296.0,24853508.0,0.0000
6,3273148.0,0.0,0.0,1.0,0.0,0.0,0.45496204590283834,0.0056,0.0037,0.0047,0.0036,0.8,24,wwig,5,dc,10.0,1.95123e-09,1.20272e-08,4.84404e-09,1.88224e-08,15535810.0,3273148.0,10541401.0,30364179.0,0.0000
7,429467.0,196461.0,424344.0,0.4089102632460924,0.18705725754852076,0.4040324792053868,0.4717821057976321,0.0074,0.0046,0.006,0.0046,0.7,13,wwig,9,dc,10.0,1.943e-09,1.21373e-08,4.89472e-09,1.8975e-08,8113751.0,1050272.0,6812291.0,16665666.0,0.0000
8,37523.0,101.0,29642.0,0.5578301073350578,0.0015015015015015015,0.44066839116344064,0.483174112037651,0.0198,0.0079,0.0132,0.008,0.7,8.5E+00,wwig,10,dc,10.0,1.91443e-09,1.225e-08,4.95948e-09,1.91239e-08,1745461.0,67266.0,1861581.0,3992033.0,0.0002
9,427133.0,194414.0,424730.0,0.4082408387071493,0.18581503750918735,0.4059441237836634,0.47252350439048485,0.0074,0.0046,0.006,0.0046,0.2,14,wwig,9,dc,10.0,1.93031e-09,1.20516e-08,4.85685e-09,1.88388e-08,8062723.0,1046277.0,6790720.0,16585412.0,0.0001
10,37571.0,106.0,29606.0,0.558402568256469,0.0015754351024775946,0.44002199664105346,0.48371812320224267,0.0199,0.0079,0.0132,0.0081,0.2,11,wwig,10,dc,10.0,1.94071e-09,1.21575e-08,4.93923e-09,1.90375e-08,1737342.0,67283.0,1858736.0,3981697.0,0.0002
11,1757356.0,0.0,6.0,0.9999965857916582,0.0,3.4142083418214347e-06,0.4695467784461861,0.0064,0.004,0.0052,0.0039,0.2,19,wwig,7,dc,10.0,1.94218e-09,1.20528e-08,4.85103e-09,1.8846e-08,10408501.0,1757362.0,8162896.0,21127305.0,0.0000
12,2211389.0,17811.0,11537.0,0.9869025235893369,0.00794872401357232,0.005148752397090779,0.4607478740687154,0.0062,0.004,0.0052,0.004,0.2,22,wwig,6,dc,10.0,1.95242e-09,1.21505e-08,4.88219e-09,1.89851e-08,12437075.0,2240737.0,9148404.0,24718814.0,0.0000
13,3264200.0,0.0,0.0,1.0,0.0,0.0,0.4559009705541172,0.0056,0.0037,0.0047,0.0036,0.2,35,wwig,5,dc,10.0,1.92621e-09,1.20234e-08,4.8674e-09,1.8817e-08,15433306.0,3264200.0,10518367.0,30231493.0,0.0000
14,425737.0,194828.0,424014.0,0.4075680250129478,0.1865134183245116,0.4059185566625406,0.4725904451330334,0.0074,0.0046,0.006,0.0046,0.4,16,wwig,9,dc,10.0,1.94397e-09,1.20918e-08,4.88649e-09,1.89222e-08,8048906.0,1044579.0,6781420.0,16559791.0,0.0001
15,37525.0,105.0,29609.0,0.5580838501464923,0.0015615937179315575,0.44035455613557606,0.4834104342066972,0.0198,0.008,0.0132,0.008,0.4,7.6E+00,wwig,10,dc,10.0,1.91883e-09,1.21416e-08,4.97429e-09,1.90347e-08,1741374.0,67239.0,1859693.0,3986120.0,0.0002
16,1756044.0,0.0,6.0,0.9999965832407961,0.0,3.4167592038951054e-06,0.4692779057175088,0.0064,0.004,0.0051,0.0039,0.4,24,wwig,7,dc,10.0,1.92451e-09,1.20919e-08,4.84156e-09,1.8858e-08,10414429.0,1756050.0,8158244.0,21126701.0,0.0000
