i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
0,0,0.056000000000000015,0.3,0.10544042371307516,"set([0.283431219866527, 0.10664139392533702, 0.10272111412085057])",dc,3,9,1.5341567993164062,0.07052941824430645
1,2,0.056000000000000015,0.3,0.10173089258441427,"set([0.09623854563985743, 0.10485813742467498, 0.09516850563874835])",dc,3,9,1.2490386962890625,0.06499110985466694
2,1,0.056000000000000015,0.3,0.10445091623283814,"set([0.10611278591044968, 0.10012932204699386])",dc,2,9,1.1840629577636719,0.06397887075193304
3,0,0.056000000000000015,0.3,0.10409322662800122,"set([1.2385074855020668, 0.09997175311568873, 0.3485776741500442, 0.796322010417879, 0.10587150190011634, 3.203019967119867])",dc,6,8,1.5580863952636719,0.07061093665003285
4,2,0.056000000000000015,0.3,0.10436000362281471,"set([0.10008244565204238, 0.1156908023868714, 0.10615733056168379, 0.10299579539632164])",dc,4,8,1.2955093383789062,0.06622106088124867
5,1,0.056000000000000015,0.3,0.1045185219261675,"set([0.10651842051597993, 0.09974454617604368])",dc,2,8,1.204010009765625,0.0644114080457428
6,0,0.056000000000000015,0.3,0.09846730034675152,set([0.09846730034675152]),dc,1,10,1.0517959594726562,0.0605472910154646
7,2,0.056000000000000015,0.3,0.09853580541074503,set([0.09853580541074503]),dc,1,10,0.9639968872070312,0.058427086482896955
8,1,0.056000000000000015,0.3,0.09687825026742364,set([0.09687825026742364]),dc,1,10,0.9454917907714844,0.05790319296540873
9,0,0.056000000000000015,0.3,0.1048358027288178,"set([0.10683247034809075, 0.16231965596211362, 0.09894529755294025, 1.6986102812696497, 0.10327459263780298])",dc,5,7,1.7039337158203125,0.07283391777025054
10,2,0.056000000000000015,0.3,0.10324148101186177,"set([0.1056387276097558, 0.9266906860376835, 0.10576168325246905, 0.10362904236851833, 0.09731019949230016, 0.15506084529297218])",dc,6,7,1.3319168090820312,0.06673456671952123
11,1,0.056000000000000015,0.3,0.10364356542978256,"set([0.711792912988814, 0.10599977730528266, 0.1786496616179996, 0.09790319755800438])",dc,4,7,1.2253036499023438,0.06474683472370371
12,0,0.056000000000000015,0.3,0.1046078923185473,"set([0.10663134287942203, 0.1005245745908876, 0.797210821955369, 0.10290817970968114])",dc,4,6,1.7750511169433594,0.07369867388460533
13,2,0.056000000000000015,0.3,0.102277133825412,"set([0.10663225648272422, 0.09976850886370485, 0.09485671685163737, 0.08369800864754348])",dc,4,6,1.3784217834472656,0.06741477648847813
14,1,0.056000000000000015,0.3,0.10443977878849742,"set([0.10835013030618668, 3.5576901468145135, 0.0998264732580908, 0.09815140250660123])",dc,4,6,1.3033714294433594,0.06638350960844908
15,0,0.056000000000000015,0.3,0.10531320045095163,"set([0.10642690216462251, 0.20549145013190112, 0.1047990998539448, 55.78132094436728, 0.1069826455551223, 0.10180401147664248, 0.27447573008737225])",dc,7,5,2.679729461669922,0.0759375837094705
16,2,0.056000000000000015,0.3,0.10274644865877139,"set([0.0995468200401217, 0.10204808969908466, 0.07361130866658115, 0.10686029390093642, 0.09850098098847099])",dc,5,5,1.4603805541992188,0.06884328228362348
17,1,0.056000000000000015,0.3,0.10484446157806165,"set([0.10759001561802363, 0.10147910351065195, 0.30726691037575893, 0.2555028528794548, 0.10089798525669998])",dc,5,5,1.3593063354492188,0.0674772336703205
18,0,0.016,0.8,0.06257543379954254,"set([0.283431219866527, 0.02932464629295157, 0.07776363037250779])",dc,3,9,0.6657791137695312,0.029697260967980643
19,1,0.016,0.8,0.05649433133068583,"set([0.028592134865175336, 0.06718437950740734])",dc,2,9,0.441375732421875,0.022673124681725994
20,2,0.016,0.8,0.051059002534561124,"set([0.03170351617265261, 0.06328696406384308, 0.027518344086800935])",dc,3,9,0.46173095703125,0.022886106708919947
21,0,0.016,0.8,0.0626471357572446,"set([0.07914582866159936, 1.2385074855020668, 0.3485776741500442, 0.796322010417879, 0.028566635093993212, 3.203019967119867])",dc,6,8,0.6858634948730469,0.030177681060031387
22,1,0.016,0.8,0.05781283527343432,"set([0.07005694294375057, 0.028536341668266563])",dc,2,8,0.45611572265625,0.02325050057257217
23,2,0.016,0.8,0.052833630519565376,"set([0.07104794507933271, 0.029803005097812654, 0.06659953097991625, 0.02855398584591028])",dc,4,8,0.487213134765625,0.023782967832100137
