i,dc factor,edges,group,size,verts
0,0.2,20666,0,0.9177360534667969,12271
1,0.2,17372,1,0.7682838439941406,9983
2,0.2,16610,2,0.7372856140136719,9639
3,0.2,15950,3,0.7068290710449219,9121
4,0.2,15372,4,0.6857643127441406,8903
5,0.2,15180,5,0.6758308410644531,8785
6,0.2,15244,6,0.6788444519042969,8841
7,0.2,14916,7,0.6621971130371094,8501
8,0.2,14674,8,0.6515426635742188,8344
9,0.2,14720,9,0.6530647277832031,8355
10,0.2,14596,10,0.6477775573730469,8281
11,0.2,14706,11,0.6526679992675781,8347
12,0.2,14576,12,0.6484222412109375,8318
13,0.2,14060,13,0.6283950805664062,8084
14,0.2,13880,14,0.6189422607421875,7972
15,0.2,13698,15,0.6105155944824219,7801
16,0.2,13458,16,0.5976982116699219,7561
17,0.2,13404,17,0.5969810485839844,7581
18,0.2,13204,18,0.5902519226074219,7529
19,0.2,12980,19,0.5780754089355469,7359
20,0.2,12454,20,0.5555496215820312,7004
21,0.2,12320,21,0.5493850708007812,6900
22,0.2,12186,22,0.5440177917480469,6833
23,0.2,11530,23,0.5158195495605469,6495
24,0.2,10770,24,0.4813575744628906,5927
25,0.2,10814,25,0.4815177917480469,5889
26,0.2,10648,26,0.4731101989746094,5795
27,0.2,379988,total,16.90786361694336,216419
28,0.8,6270,0,0.3411140441894531,5073
29,0.8,4798,1,0.26464080810546875,3696
30,0.8,4636,2,0.2576751708984375,3652
31,0.8,4298,3,0.24011611938476562,3295
32,0.8,4134,4,0.23563385009765625,3284
33,0.8,4132,5,0.23331069946289062,3261
34,0.8,4126,6,0.2335205078125,3282
35,0.8,3920,7,0.22175979614257812,3003
36,0.8,3860,8,0.21839523315429688,2937
37,0.8,3864,9,0.21823501586914062,2927
38,0.8,3812,10,0.21583175659179688,2889
39,0.8,3794,11,0.21559524536132812,2891
40,0.8,3772,12,0.21567535400390625,2916
41,0.8,3680,13,0.2126312255859375,2894
42,0.8,3670,14,0.20998764038085938,2867
43,0.8,3596,15,0.2058868408203125,2750
44,0.8,3460,16,0.197235107421875,2562
45,0.8,3398,17,0.196197509765625,2578
46,0.8,3356,18,0.19579696655273438,2605
47,0.8,3406,19,0.1945953369140625,2572
48,0.8,3236,20,0.18632888793945312,2395
49,0.8,3148,21,0.1820068359375,2314
50,0.8,3088,22,0.17960357666015625,2284
51,0.8,2956,23,0.172393798828125,2208
52,0.8,2780,24,0.16132354736328125,1932
53,0.8,2734,25,0.15787887573242188,1849
54,0.8,2662,26,0.15323638916015625,1802
55,0.8,100586,total,5.716606140136719,76718
56,0.7,8290,0,0.4220237731933594,6083
57,0.7,6618,1,0.3375396728515625,4606
58,0.7,6300,2,0.3243255615234375,4484
59,0.7,6030,3,0.3094902038574219,4161
60,0.7,5766,4,0.30100250244140625,4100
61,0.7,5690,5,0.29571533203125,4040
62,0.7,5786,6,0.30001068115234375,4112
63,0.7,5632,7,0.2903327941894531,3859
64,0.7,5536,8,0.2855262756347656,3775
65,0.7,5570,9,0.28656768798828125,3780
66,0.7,5526,10,0.28448486328125,3746
67,0.7,5528,11,0.2850494384765625,3758
68,0.7,5494,12,0.2846488952636719,3777
69,0.7,5276,13,0.27655792236328125,3692
70,0.7,5202,14,0.2713508605957031,3633
71,0.7,5196,15,0.2699737548828125,3550
72,0.7,5094,16,0.2626838684082031,3379
73,0.7,5042,17,0.26204681396484375,3400
