i,group,ratio,size,verts
0,0,9,1.0724258422851562,13108
1,1,9,0.8739776611328125,10624
2,2,9,0.8431167602539062,10176
3,3,9,0.8294296264648438,10040
4,4,9,0.8168411254882812,9908
5,5,9,0.7884597778320312,9460
6,6,9,0.7823562622070312,9408
7,7,9,0.7916336059570312,9528
8,8,9,0.7730484008789062,9308
9,9,9,0.7604598999023438,9156
10,10,9,0.7574081420898438,9128
11,11,9,0.7500457763671875,9048
12,12,9,0.753875732421875,9092
13,13,9,0.7384262084960938,8920
14,14,9,0.7244186401367188,8648
15,15,9,0.7186965942382812,8600
16,16,9,0.7054061889648438,8452
17,17,9,0.6992874145507812,8384
18,18,9,0.69012451171875,8280
19,19,9,0.6755905151367188,7996
20,20,9,0.6677627563476562,7940
21,21,9,0.6401901245117188,7628
22,22,9,0.6348724365234375,7576
23,23,9,0.6264266967773438,7312
24,24,9,0.5774917602539062,6808
25,25,9,0.5780715942382812,6836
26,26,9,0.5612030029296875,6648
27,total,9,19.83104705810547,238012
28,0,13,0.9652938842773438,11800
29,1,13,0.793487548828125,9608
30,2,13,0.7604141235351562,9132
31,3,13,0.7550430297851562,9084
32,4,13,0.7339630126953125,8844
33,5,13,0.7245712280273438,8752
34,6,13,0.7196426391601562,8576
35,7,13,0.7025375366210938,8392
36,8,13,0.6943740844726562,8292
37,9,13,0.6967239379882812,8324
38,10,13,0.7003402709960938,8376
39,11,13,0.7016220092773438,8396
40,12,13,0.6899337768554688,8260
41,13,13,0.673828125,8080
42,14,13,0.6717987060546875,8052
43,15,13,0.6559524536132812,7876
44,16,13,0.6412887573242188,7600
45,17,13,0.6343154907226562,7528
46,18,13,0.6383895874023438,7592
47,19,13,0.6178436279296875,7364
48,20,13,0.6056365966796875,7212
49,21,13,0.5909347534179688,6920
50,22,13,0.5768814086914062,6784
51,23,13,0.5607070922851562,6616
52,24,13,0.5343475341796875,6312
53,25,13,0.5305938720703125,6268
54,26,13,0.5138168334960938,5896
55,total,13,18.08428192138672,215936
56,0,11,0.9905624389648438,12064
57,1,11,0.8304214477539062,10024
58,2,11,0.7993927001953125,9672
59,3,11,0.7827072143554688,9392
60,4,11,0.7714920043945312,9284
61,5,11,0.7451934814453125,8984
62,6,11,0.7476348876953125,9016
63,7,11,0.73974609375,8920
64,8,11,0.7319717407226562,8840
65,9,11,0.7328872680664062,8712
66,10,11,0.7261123657226562,8644
67,11,11,0.7220840454101562,8616
68,12,11,0.7150955200195312,8544
69,13,11,0.7065963745117188,8452
70,14,11,0.6936264038085938,8308
71,15,11,0.6739959716796875,8084
72,16,11,0.6690216064453125,8016
73,17,11,0.6765823364257812,7992
74,18,11,0.6430892944335938,7624
75,19,11,0.6472244262695312,7688
76,20,11,0.6315536499023438,7520
77,21,11,0.61712646484375,7356
78,22,11,0.6052780151367188,7232
79,23,11,0.5734786987304688,6752
80,24,11,0.56488037109375,6688
81,25,11,0.5486297607421875,6488
82,26,11,0.530242919921875,6264
83,total,11,18.816627502441406,225176
84,0,14,0.9262161254882812,11244
85,1,14,0.787811279296875,9536
86,2,14,0.7605514526367188,9144
87,3,14,0.731292724609375,8816
88,4,14,0.7227554321289062,8724
89,5,14,0.7162399291992188,8544
90,6,14,0.6978530883789062,8336
91,7,14,0.6914443969726562,8264
92,8,14,0.6905899047851562,8260
93,9,14,0.6864700317382812,8212
94,10,14,0.6867904663085938,8220
95,11,14,0.6929779052734375,8312
96,12,14,0.6741485595703125,8080
97,13,14,0.6654815673828125,7976
98,14,14,0.6542892456054688,7856
99,15,14,0.6448898315429688,7624
100,16,14,0.6296615600585938,7468
101,17,14,0.6312942504882812,7504
102,18,14,0.6319503784179688,7520
103,19,14,0.6103515625,7276
104,20,14,0.6075592041015625,7240
