i,average roughness,group,perturbation
0,0.2413242188277981,0,1.0
1,0.22693335978613538,1,1.0
2,0.27088091797563374,2,1.0
3,0.2218848240626779,3,1.0
4,0.25034944634758305,4,1.0
5,0.23536458525908213,5,1.0
6,0.26108203246571554,6,1.0
7,0.23574656054276993,7,1.0
8,0.22480459259649835,8,1.0
9,0.22065049567425957,9,1.0
10,0.2223037994526124,10,1.0
11,0.25337925185042737,11,1.0
12,0.27592116997940846,12,1.0
13,0.25984926550121473,13,1.0
14,0.2845086459392726,14,1.0
15,0.23501227130855984,15,1.0
16,0.23370782464613166,16,1.0
17,0.2835624204849891,17,1.0
18,0.2684488740833262,18,1.0
19,0.318240548451657,19,1.0
20,0.25026689253925666,20,1.0
21,0.28397232607923567,21,1.0
22,0.323851674359483,22,1.0
23,0.3328876287707941,23,1.0
24,0.2677647036121045,24,1.0
25,0.2710727763874464,25,1.0
26,0.30204134581925834,26,1.0
27,0.26132638714086415,total,1.0
