i,average roughness,group,iterations,perturbation
0,0.2743964490000161,0,,0.0
1,0.2744744802012314,1,,0.0
2,0.3088768969608108,2,,0.0
3,0.2657883943835245,3,,0.0
4,0.29449832651251084,4,,0.0
5,0.2804186609145667,5,,0.0
6,0.30104918931678837,6,,0.0
7,0.28022703177329394,7,,0.0
8,0.2756680784210105,8,,0.0
9,0.27169373940061325,9,,0.0
10,0.2702447096182324,10,,0.0
11,0.29808355582986457,11,,0.0
12,0.32148781944320803,12,,0.0
13,0.30030356115435686,13,,0.0
14,0.32715913376900063,14,,0.0
15,0.28255713512690556,15,,0.0
16,0.2784042572516686,16,,0.0
17,0.33201641160737155,17,,0.0
18,0.32507866003316677,18,,0.0
19,0.372725459241542,19,,0.0
20,0.30073272887531105,20,,0.0
21,0.3341751250836741,21,,0.0
22,0.372222324172358,22,,0.0
23,0.3701649132600101,23,,0.0
24,0.3307465048064846,24,,0.0
25,0.33645194084455626,25,,0.0
26,0.3574693514263575,26,,0.0
27,0.308782031052905,total,0.0,
