i,energy group,factor,interior average roughness,interior roughness,mode,num interior surfs,ratio,size
0,0,0.1,0.015244965995818323,"set([0.004096117042285889, 0.020649164278355333, 0.8680029508401165])",sm,3,9,2.1771087646484375
1,1,0.1,0.010965685354127267,"set([0.005148306555036278, 0.013308618652355154])",sm,2,9,1.6772117614746094
2,2,0.1,0.009391063145665833,"set([0.012393610509433186, 0.004029659990908039, 0.01135532959011561])",sm,3,9,1.7699851989746094
3,0,0.1,0.014677934374390154,"set([1.6561464084337785, 0.019996572797382935, 1.330251546349781, 0.0044473442664709475, 1.5083415622346237, 1.4139022523069305])",sm,6,8,2.210491180419922
4,1,0.1,0.011436989532229859,"set([0.0052705092572583575, 0.0141450288341871])",sm,2,8,1.7057304382324219
5,2,0.1,0.011123276181480846,"set([0.01380610297884289, 0.003883637532684849, 0.010226485091484792, 0.03958006178296093])",sm,4,8,1.8361625671386719
6,0,0.1,0.0037035002026004995,set([0.0037035002026004995]),sm,1,10,1.4883880615234375
7,1,0.1,0.0061264150938956635,set([0.0061264150938956635]),sm,1,10,1.3365020751953125
8,2,0.1,0.004610674693131422,set([0.004610674693131422]),sm,1,10,1.3629379272460938
9,0,0.1,0.014318757127467562,"set([0.022003602061534514, 0.003952486902784851, 1.2290616694196, 1.7056714510129634, 0.0049061032396667485])",sm,5,7,2.4191436767578125
10,1,0.1,0.012797008522130745,"set([1.6341719776443953, 0.0165834505155619, 1.4115776678789924, 0.004918267801908028])",sm,4,7,1.7356758117675781
11,2,0.1,0.010846914555614942,"set([1.6817310474848737, 0.014597047877759877, 0.02128121139488358, 0.006833669908249587, 0.003990854013721093, 1.5297584530660597])",sm,6,7,1.8877105712890625
12,0,0.1,0.014468006271245504,"set([1.1447376549986397, 0.0035459626303446703, 0.022701025085306848, 0.006106896582443224])",sm,4,6,2.5211830139160156
13,1,0.1,0.012093794474776473,"set([0.008212821572027807, 0.0167037003357508, 1.2627593615019987, 0.004867912263071045])",sm,4,6,1.8473892211914062
14,2,0.1,0.011455497006115808,"set([0.0059741477034700695, 0.004417496097384237, 0.015508435246475926, 0.02629586319881164])",sm,4,6,1.9546432495117188
15,0,0.1,,"set([nan, 0.0034077296841915593, 0.005557525134666965, 1.7337636214536105, 1.696057010303909, 0.009153487603774199, 0.023818100780500798])",sm,7,5,3.8123207092285156
16,1,0.1,0.011729917948636485,"set([0.6258242465673157, 0.005623931137308421, 1.8570587541963666, 0.016967167932522474, 0.005708275041295303])",sm,5,5,1.9269561767578125
17,2,0.1,0.01271879418682215,"set([0.017083420316104016, 0.004872412581177433, 0.004895586858251084, 0.012365164216827287, 0.09201499485604986])",sm,5,5,2.0716896057128906
18,0,0.6,0.015244965995818323,"set([0.004096117042285889, 0.020649164278355333, 0.8680029508401165])",sm,3,9,2.1771087646484375
19,1,0.6,0.010965685354127267,"set([0.005148306555036278, 0.013308618652355154])",sm,2,9,1.6772117614746094
20,2,0.6,0.009391063145665833,"set([0.012393610509433186, 0.004029659990908039, 0.01135532959011561])",sm,3,9,1.7699851989746094
21,0,0.6,0.014677934374390154,"set([1.6561464084337785, 0.019996572797382935, 1.330251546349781, 0.0044473442664709475, 1.5083415622346237, 1.4139022523069305])",sm,6,8,2.210491180419922
22,1,0.6,0.011436989532229859,"set([0.0052705092572583575, 0.0141450288341871])",sm,2,8,1.7057304382324219
23,2,0.6,0.011123276181480846,"set([0.01380610297884289, 0.003883637532684849, 0.010226485091484792, 0.03958006178296093])",sm,4,8,1.8361625671386719
24,0,0.6,0.0037035002026004995,set([0.0037035002026004995]),sm,1,10,1.4883880615234375
25,1,0.6,0.0061264150938956635,set([0.0061264150938956635]),sm,1,10,1.3365020751953125
26,2,0.6,0.004610674693131422,set([0.004610674693131422]),sm,1,10,1.3629379272460938
27,0,0.6,0.014318757127467562,"set([0.022003602061534514, 0.003952486902784851, 1.2290616694196, 1.7056714510129634, 0.0049061032396667485])",sm,5,7,2.4191436767578125
28,1,0.6,0.012797008522130745,"set([1.6341719776443953, 0.0165834505155619, 1.4115776678789924, 0.004918267801908028])",sm,4,7,1.7356758117675781
29,2,0.6,0.010846914555614942,"set([1.6817310474848737, 0.014597047877759877, 0.02128121139488358, 0.006833669908249587, 0.003990854013721093, 1.5297584530660597])",sm,6,7,1.8877105712890625
30,0,0.6,0.014468006271245504,"set([1.1447376549986397, 0.0035459626303446703, 0.022701025085306848, 0.006106896582443224])",sm,4,6,2.5211830139160156
31,1,0.6,0.012093794474776473,"set([0.008212821572027807, 0.0167037003357508, 1.2627593615019987, 0.004867912263071045])",sm,4,6,1.8473892211914062
32,2,0.6,0.011455497006115808,"set([0.0059741477034700695, 0.004417496097384237, 0.015508435246475926, 0.02629586319881164])",sm,4,6,1.9546432495117188
33,0,0.6,,"set([nan, 0.0034077296841915593, 0.005557525134666965, 1.7337636214536105, 1.696057010303909, 0.009153487603774199, 0.023818100780500798])",sm,7,5,3.8123207092285156
34,1,0.6,0.011729917948636485,"set([0.6258242465673157, 0.005623931137308421, 1.8570587541963666, 0.016967167932522474, 0.005708275041295303])",sm,5,5,1.9269561767578125
35,2,0.6,0.01271879418682215,"set([0.017083420316104016, 0.004872412581177433, 0.004895586858251084, 0.012365164216827287, 0.09201499485604986])",sm,5,5,2.0716896057128906
36,2,0.7,0.009391063145665833,"set([0.012393610509433186, 0.004029659990908039, 0.01135532959011561])",sm,3,9,1.7699851989746094
